,Titel,Namenszusatz,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Name,id,name
91,,,Heilmann,Thomas,Wahlkreis,79,Berlin-Steglitz-Zehlendorf,Thomas Heilmann,56806603,
92,,,Heitmann,Linda,Wahlkreis,19,Hamburg-Altona,Linda Heitmann,7.960767396424909e+17,Linda Heitmann
93,,,Helfrich,Mark,Wahlkreis,3,Steinburg – Dithmarschen Süd,Mark Helfrich,,
94,,,Hennrich,Michael,Wahlkreis,262,Nürtingen,Michael Hennrich,1.1322605273784893e+18,Michael Hennrich
95,,,Henrichmann,Marc,Wahlkreis,127,Coesfeld – Steinfurt II,Marc Henrichmann,44608858.0,Marc Henrichmann
96,,,Heveling,Ansgar,Wahlkreis,110,Krefeld I – Neuss II,Ansgar Heveling,,
97,,,Hierl,Susanne,Wahlkreis,232,Amberg,Susanne Hierl,1.3527425622605292e+18,Susanne Hierl
98,,,Hilse,Karsten,Wahlkreis,156,Bautzen I,Karsten Hilse,920932259347214338,
99,,,Hitschler,Thomas,Wahlkreis,211,Südpfalz,Thomas Hitschler,292151515.0,Thomas Hitschler
100,,,Hoffmann,Alexander,Wahlkreis,249,Main-Spessart,Alexander Hoffmann,1.1938168435191726e+18,Alexander Hoffmann
101,,,Hubertz,Verena,Wahlkreis,203,Trier,Verena Hubertz,3591923477.0,Verena Hubertz
102,,,Irlstorfer,Erich,Wahlkreis,214,Freising,Erich Irlstorfer,,
103,,,Janich,Steffen,Wahlkreis,158,Sächsische Schweiz-Osterzgebirge,Steffen Janich,,
104,,,Jarzombek,Thomas,Wahlkreis,106,Düsseldorf I,Thomas Jarzombek,37105136.0,Thomas Jarzombek
105,,,Jung,Andreas,Wahlkreis,287,Konstanz,Andreas Jung,,
106,,,Jung,Ingmar,Wahlkreis,179,Wiesbaden,Ingmar Jung,23296367.0,Ingmar Jung
107,,,Junge,Frank,Wahlkreis,13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,Frank Junge,77928749.0,Frank Junge
108,,,Kaczmarek,Oliver,Wahlkreis,144,Unna I,Oliver Kaczmarek,231440493.0,Oliver Kaczmarek
109,,,Karliczek,Anja,Wahlkreis,128,Steinfurt III,Anja Karliczek,2521976694,
110,,,Kassautzki,Anna,Wahlkreis,15,Vorpommern-Rügen – Vorpommern-Greifswald I,Anna Kassautzki,2776064484.0,Anna Kassautzki
111,Prof. Dr.,,Kaufmann,Michael,Wahlkreis,195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Michael Kaufmann,1595763756,
112,,,Keller,Rainer,Wahlkreis,113,Wesel I,Rainer Keller,912780367937048578,
113,,,Kemmer,Ronja,Wahlkreis,291,Ulm,Ronja Kemmer,2405039875.0,Ronja Kemmer
114,Dr.,,Kersten,Franziska,Wahlkreis,67,Börde – Jerichower Land,Franziska Kersten,729399137272213505,
115,,,Kiesewetter,Roderich,Wahlkreis,270,Aalen – Heidenheim,Roderich Kiesewetter,42698498.0,Roderich Kiesewetter
116,,,Kießling,Michael,Wahlkreis,224,Starnberg – Landsberg am Lech,Michael Kießling,730314294,
117,Dr.,,Kippels,Georg,Wahlkreis,91,Rhein-Erft-Kreis I,Georg Kippels,,
118,,,Kleebank,Helmut,Wahlkreis,78,Berlin-Spandau – Charlottenburg Nord,Helmut Kleebank,4185556127.0,Helmut Kleebank
119,,,Klein,Volkmar,Wahlkreis,148,Siegen-Wittgenstein,Volkmar Klein,33043294.0,Volkmar Klein
120,,,Klein-Schmeink,Maria,Wahlkreis,129,Münster,Maria Klein-Schmeink,18103366,
121,Dr.,,Klinck,Kristian,Wahlkreis,6,Plön – Neumünster,Kristian Klinck,,
122,,,Klingbeil,Lars,Wahlkreis,35,Rotenburg I – Heidekreis,Lars Klingbeil,16255941.0,Lars Klingbeil
123,,,Klüssendorf,Tim,Wahlkreis,11,Lübeck,Tim Klüssendorf,19160769.0,Tim Klüssendorf
124,,,Knoerig,Axel,Wahlkreis,33,Diepholz – Nienburg I,Axel Knoerig,9.289748162202542e+17,Axel Knoerig
125,,,Koob,Markus,Wahlkreis,176,Hochtaunus,Markus Koob,2664174617.0,Markus Koob
126,,,Kopf,Chantal,Wahlkreis,281,Freiburg,Chantal Kopf,8.200011789436273e+17,Chantal Kopf
127,,,Koß,Simona,Wahlkreis,59,Märkisch-Oderland – Barnim II,Simona Koß,1359549652199170050,
128,,,Kreiser,Dunja,Wahlkreis,49,Salzgitter – Wolfenbüttel,Dunja Kreiser,,
129,,,Krichbaum,Gunther,Wahlkreis,279,Pforzheim,Gunther Krichbaum,1.161098384020824e+18,Gunther Krichbaum
130,Dr.,,Krings,Günter,Wahlkreis,109,Mönchengladbach,Günter Krings,392312829.0,Günter Krings
131,,,Krischer,Oliver,Wahlkreis,87,Aachen I,Oliver Krischer,88630242.0,Oliver Krischer
132,,,Kröber,Martin,Wahlkreis,69,Magdeburg,Martin Kröber,137036352,
133,,,König,Anne,Wahlkreis,126,Borken II,Anne König,4493363728.0,Anne König
134,,,Kühnert,Kevin,Wahlkreis,81,Berlin-Tempelhof-Schöneberg,Kevin Kühnert,2764750474.0,Kevin Kühnert
135,,,Lange,Ulrich,Wahlkreis,254,Donau-Ries,Ulrich Lange,68172699.0,Ulrich Lange
136,,,Larem,Andreas,Wahlkreis,186,Darmstadt,Andreas Larem,1459468285674770436,
137,Dr.,,Launert,Silke,Wahlkreis,237,Bayreuth,Silke Launert,4926993244,
138,Dr.,,Lauterbach,Karl,Wahlkreis,101,Leverkusen – Köln IV,Karl Lauterbach,3292982985,
139,,,Lehmann,Jens,Wahlkreis,152,Leipzig I,Jens Lehmann,,
140,,,Lehmann,Sven,Wahlkreis,94,Köln II,Sven Lehmann,16706236.0,Sven Lehmann
141,,,Lehmann,Sylvia,Wahlkreis,62,Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I,Sylvia Lehmann,2320712427.0,Sylvia Lehmann
142,,,Lehrieder,Paul,Wahlkreis,251,Würzburg,Paul Lehrieder,,
143,,,Lenk,Barbara,Wahlkreis,155,Meißen,Barbara Lenk,,
144,Dr.,,Lenz,Andreas,Wahlkreis,213,Erding – Ebersberg,Andreas Lenz,3635730797.0,Andreas Lenz
145,,,Limbacher,Esra-Leon,Wahlkreis,299,Homburg,Esra-Leon Limbacher,19139341,
146,,,Lindh,Helge,Wahlkreis,102,Wuppertal I,Helge Lindh,454981027.0,Helge Lindh
147,,,Lindholz,Andrea,Wahlkreis,247,Aschaffenburg,Andrea Lindholz,1446031532.0,Andrea Lindholz
148,Dr.,,Linnemann,Carsten,Wahlkreis,137,Paderborn – Gütersloh III,Carsten Linnemann,,
149,,,Loos,Bernhard,Wahlkreis,217,München-Nord,Bernhard Loos,,
150,,,Ludwig,Daniela,Wahlkreis,222,Rosenheim,Daniela Ludwig,1.0198466050449367e+18,Daniela Ludwig
151,Dr.,,Lötzsch,Gesine,Wahlkreis,86,Berlin-Lichtenberg,Gesine Lötzsch,24178198.0,Gesine Lötzsch
152,,,Maas,Heiko,Wahlkreis,297,Saarlouis,Heiko Maas,24158261.0,Heiko Maas
153,Dr.,,Machalet,Tanja,Wahlkreis,204,Montabaur,Tanja Machalet,23340320.0,Tanja Machalet
154,,,Mack,Klaus,Wahlkreis,280,Calw,Klaus Mack,,
155,,,Magwas,Yvonne,Wahlkreis,166,Vogtlandkreis,Yvonne Magwas,3852561082.0,Yvonne Magwas
156,,von,Malottki,Erik,Wahlkreis,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,Erik Malottki,63240190,
157,,,Martin,Dorothee,Wahlkreis,21,Hamburg-Nord,Dorothee Martin,241008237.0,Dorothee Martin
158,,,Mattfeldt,Andreas,Wahlkreis,34,Osterholz – Verden,Andreas Mattfeldt,23447001.0,Andreas Mattfeldt
159,,,Mayer,Stephan,Wahlkreis,212,Altötting,Stephan Mayer,455009234.0,Stephan Mayer
160,,,Mayer,Zoe,Wahlkreis,271,Karlsruhe-Stadt,Zoe Mayer,1.248662696318419e+18,Zoe Mayer
161,,,Mayer-Lay,Volker,Wahlkreis,293,Bodensee,Volker Mayer-Lay,1.290361590429229e+18,Volker Mayer-Lay
162,Dr.,,Meister,Michael,Wahlkreis,188,Bergstraße,Michael Meister,34214048,
163,,,Merz,Joachim-Friedrich,Wahlkreis,147,Hochsauerlandkreis,Joachim-Friedrich Merz,1059395748289232896,
164,,,Metzler,Jan,Wahlkreis,206,Worms,Jan Metzler,995653004.0,Jan Metzler
165,Dr.,,Miersch,Matthias,Wahlkreis,47,Hannover-Land II,Matthias Miersch,,
166,,,Mieves,Matthias,Wahlkreis,209,Kaiserslautern,Matthias Mieves,,
167,,,Mittag,Susanne,Wahlkreis,28,Delmenhorst – Wesermarsch – Oldenburg-Land,Susanne Mittag,,
168,,,Mohrs,Falko,Wahlkreis,51,Helmstedt – Wolfsburg,Falko Mohrs,79228932.0,Falko Mohrs
169,,,Moll,Claudia,Wahlkreis,88,Aachen II,Claudia Moll,1.0703122291390259e+18,Claudia Moll
170,,,Moncsek,Mike,Wahlkreis,163,Chemnitzer Umland – Erzgebirgskreis II,Mike Moncsek,1.1043042427544945e+18,Mike Moncsek
171,,,Moosdorf,Matthias,Wahlkreis,165,Zwickau,Matthias Moosdorf,50578509.0,Matthias Moosdorf
172,,,Möller,Siemtje,Wahlkreis,26,Friesland – Wilhelmshaven – Wittmund,Siemtje Möller,1.1159402388017439e+18,Siemtje Möller
173,,,Mörseburg,Maximilian,Wahlkreis,259,Stuttgart II,Maximilian Mörseburg,,
174,,,Müller,Axel,Wahlkreis,294,Ravensburg,Axel Müller,,
175,,,Müller,Bettina,Wahlkreis,175,Main-Kinzig – Wetterau II – Schotten,Bettina Müller,2443895924.0,Bettina Müller
176,,,Müller,Detlef,Wahlkreis,162,Chemnitz,Detlef Müller,7.847600072755159e+17,Detlef Müller
177,,,Müller,Florian,Wahlkreis,149,Olpe – Märkischer Kreis I,Florian Müller,45370052.0,Florian Müller
178,,,Müller,Rainer,Wahlkreis,80,Berlin-Charlottenburg-Wilmersdorf,Rainer Müller,,
179,,,Müller,Sepp,Wahlkreis,70,Dessau – Wittenberg,Sepp Müller,8.018031277626696e+17,Sepp Müller
180,,,Müller,Stefan,Wahlkreis,242,Erlangen,Stefan Müller,17960911.0,Stefan Müller
181,,,Müntefering,Michelle-Jasmin,Wahlkreis,141,Herne – Bochum II,Michelle-Jasmin Müntefering,947740210036641793,
182,Dr.,,Mützenich,Rolf,Wahlkreis,95,Köln III,Rolf Mützenich,,
183,,,Naujok,Edgar,Wahlkreis,154,Leipzig-Land,Edgar Naujok,7.919917177172828e+17,Edgar Naujok
184,,,Nickholz,Brian,Wahlkreis,122,Recklinghausen II,Brian Nickholz,1970779310.0,Brian Nickholz
185,,,Nouripour,Omid,Wahlkreis,183,Frankfurt am Main II,Omid Nouripour,16674128.0,Omid Nouripour
186,,,Oehl,Jan,Wahlkreis,180,Hanau,Jan Oehl,631226773,
187,,,Oellers,Wilfried,Wahlkreis,89,Heinsberg,Wilfried Oellers,906847944.0,Wilfried Oellers
188,,,Oppelt,Moritz,Wahlkreis,277,Rhein-Neckar,Moritz Oppelt,1.042344502776791e+18,Moritz Oppelt
189,,,Ortleb,Josephine,Wahlkreis,296,Saarbrücken,Josephine Ortleb,21618829,
190,,,Oster,Josef,Wahlkreis,199,Koblenz,Josef Oster,28089973.0,Josef Oster
191,,,Otte,Henning,Wahlkreis,44,Celle – Uelzen,Henning Otte,1.4163887092646339e+18,Henning Otte
192,,,Oßner,Florian,Wahlkreis,228,Landshut,Florian Oßner,1294532364.0,Florian Oßner
193,Dr.,,Pantazis,Christos,Wahlkreis,50,Braunschweig,Christos Pantazis,25909814,
194,,,Papenbrock,Wiebke,Wahlkreis,56,Prignitz – Ostprignitz-Ruppin – Havelland I,Wiebke Papenbrock,,
195,,,Papendieck,Mathias,Wahlkreis,63,Frankfurt (Oder) – Oder-Spree,Mathias Papendieck,1673859822.0,Mathias Papendieck
196,,,Pawlik,Natalie,Wahlkreis,177,Wetterau I,Natalie Pawlik,90452001,
197,,,Peick,Jens,Wahlkreis,142,Dortmund I,Jens Peick,1.3486122902502072e+18,Jens Peick
198,,,Pellmann,Sören,Wahlkreis,153,Leipzig II,Sören Pellmann,74837812.0,Sören Pellmann
