,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Gruppenname,Name,id,name
76,Gröhe,Gottfried,Wahlkreis,108,Neuss I,CDU,Gottfried Gröhe,,
77,Grübel,Markus,Wahlkreis,261,Esslingen,CDU,Markus Grübel,7.966912900165837e+17,Markus Grübel
78,Grütters,Monika,Wahlkreis,77,Berlin-Reinickendorf,CDU,Monika Grütters,,
79,Gutting,Olav,Wahlkreis,278,Bruchsal – Schwetzingen,CDU,Olav Gutting,58429842.0,Olav Gutting
80,Gysi,Gregor,Wahlkreis,84,Berlin-Treptow-Köpenick,DIE LINKE,Gregor Gysi,888289790.0,Gregor Gysi
81,Haase,Christian,Wahlkreis,136,Höxter – Lippe II,CDU,Christian Haase,,
82,Habeck,Robert,Wahlkreis,1,Flensburg – Schleswig,GRÜNE,Robert Habeck,,
83,Hagedorn,Bettina,Wahlkreis,9,Ostholstein – Stormarn-Nord,SPD,Bettina Hagedorn,,
84,Hahn,Florian,Wahlkreis,221,München-Land,CSU,Florian Hahn,403735368.0,Florian Hahn
85,Hakverdi,Metin,Wahlkreis,23,Hamburg-Bergedorf – Harburg,SPD,Metin Hakverdi,1043288618.0,Metin Hakverdi
86,Hauer,Matthias,Wahlkreis,120,Essen III,CDU,Matthias Hauer,1158585210.0,Matthias Hauer
87,Heidenblut,Dirk,Wahlkreis,119,Essen II,SPD,Dirk Heidenblut,,
88,Heil,Mechthild,Wahlkreis,198,Ahrweiler,CDU,Mechthild Heil,974367631.0,Mechthild Heil
89,Heil,Wolfgang-Hubertus,Wahlkreis,45,Gifhorn – Peine,SPD,Wolfgang-Hubertus Heil,,
90,Heiligenstadt,Frauke,Wahlkreis,52,Goslar – Northeim – Osterode,SPD,Frauke Heiligenstadt,20715527.0,Frauke Heiligenstadt
91,Heilmann,Thomas,Wahlkreis,79,Berlin-Steglitz-Zehlendorf,CDU,Thomas Heilmann,,
92,Heitmann,Linda,Wahlkreis,19,Hamburg-Altona,GRÜNE,Linda Heitmann,7.960767396424909e+17,Linda Heitmann
